JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
425617; 21688; 388678; 32717; 12094
423978; 21732; 388103; 32654; 12069
424954; 21693; 388106; 32748; 12071
425414; 21687; 388068; 32724; 12062
426086; 21718; 388552; 32627; 12075
425883; 21709; 387446; 32669; 12061
425251; 21716; 388018; 32720; 12071
425417; 21708; 388050; 32688; 12078
424995; 21698; 388451; 32716; 12078
425125; 21689; 387858; 32670; 12064
425764; 21699; 386396; 32671; 12066
423952; 21686; 388596; 32956; 12083
424840; 21711; 388667; 32994; 11989
425515; 21709; 388541; 32874; 12072
425373; 21680; 387971; 33030; 12069
425578; 21684; 388319; 32963; 12068
424156; 21688; 388513; 33018; 12060
424641; 21699; 388026; 32962; 12081
425557; 21704; 388275; 32932; 12081
424870; 21680; 388001; 32956; 12059
425945; 21707; 388121; 32931; 12076
425588; 21710; 388845; 33057; 12072
425507; 21683; 389052; 32951; 12060
425029; 21701; 388228; 32860; 12050
425295; 21690; 388088; 32931; 12058
425774; 21700; 388394; 32950; 12059
425648; 21653; 388853; 32948; 12067
425485; 21692; 388217; 32997; 12054
424521; 21721; 388080; 33020; 12062
425895; 21695; 388233; 32927; 12049
