JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
18668.0; 17120.0; 18656.0; 12014.0; 11394.0
18660.0; 17024.0; 18676.0; 12055.0; 11404.0
18659.0; 16968.0; 18678.0; 12017.0; 11389.0
18672.0; 17006.0; 18677.0; 12056.0; 11397.0
18666.0; 17005.0; 18695.0; 12030.0; 11399.0
18645.0; 17000.0; 18678.0; 12037.0; 11394.0
18649.0; 16973.0; 18692.0; 12059.0; 11392.0
18651.0; 16998.0; 18681.0; 12021.0; 11392.0
18653.0; 16995.0; 18672.0; 12040.0; 11401.0
18660.0; 16991.0; 18650.0; 12054.0; 11392.0
18663.0; 16993.0; 18679.0; 12043.0; 11392.0
18671.0; 16993.0; 18678.0; 12090.0; 11404.0
18679.0; 16998.0; 18685.0; 12073.0; 11387.0
18658.0; 16993.0; 18682.0; 12093.0; 11400.0
18666.0; 17001.0; 18696.0; 12076.0; 11374.0
18672.0; 16992.0; 18689.0; 12072.0; 11388.0
18656.0; 16997.0; 18684.0; 12055.0; 11392.0
18642.0; 16996.0; 18688.0; 12076.0; 11393.0
18668.0; 17000.0; 18674.0; 12093.0; 11393.0
18680.0; 16994.0; 18674.0; 12082.0; 11397.0
18659.0; 16986.0; 18697.0; 12075.0; 11379.0
18647.0; 16998.0; 18687.0; 12081.0; 11391.0
18647.0; 17001.0; 18651.0; 12086.0; 11394.0
18665.0; 16999.0; 18675.0; 12076.0; 11401.0
18659.0; 16994.0; 18686.0; 12087.0; 11384.0
18646.0; 17006.0; 18700.0; 12086.0; 11395.0
18660.0; 17003.0; 18669.0; 12080.0; 11396.0
18643.0; 16999.0; 18685.0; 12077.0; 11402.0
18628.0; 16996.0; 18682.0; 12071.0; 11401.0
18659.0; 17009.0; 18693.0; 12079.0; 11403.0
