JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
26011; 25809; 22192; 24295; 23880; 18532
26427; 26018; 21988; 24902; 23916; 18526
26971; 26634; 21977; 24955; 23948; 18436
26939; 26622; 22083; 24914; 23884; 18521
26852; 26500; 21927; 24820; 23859; 18446
27072; 26687; 22136; 24865; 23936; 18663
27022; 26651; 22241; 24830; 23833; 18516
27060; 26633; 22153; 24885; 23856; 18637
26815; 26558; 22003; 24657; 23986; 18684
26904; 26722; 22063; 24677; 23912; 18697
26971; 26513; 22167; 24804; 23954; 18638
26922; 26869; 21915; 24807; 23805; 18438
26979; 26653; 22148; 24847; 23878; 18213
27020; 26741; 22146; 24900; 23818; 18459
26960; 26802; 22161; 24871; 23930; 18562
26948; 26555; 21899; 24853; 23719; 18419
27009; 26696; 22161; 24874; 23495; 18203
26838; 26747; 22115; 24817; 23889; 18586
26891; 26752; 22124; 24834; 23775; 18622
26790; 26703; 22035; 24849; 23853; 18544
27100; 26589; 22067; 24830; 23805; 18294
26797; 26729; 22141; 24850; 23729; 18617
26883; 26756; 22123; 24813; 23882; 18599
27030; 26608; 21911; 24821; 23825; 18430
26979; 26756; 22233; 24884; 23733; 18482
26718; 26689; 22163; 24810; 23806; 18564
26929; 26752; 22136; 24820; 23837; 18520
26901; 26581; 22058; 24727; 23720; 18319
27068; 26671; 22152; 24782; 23835; 18530
27035; 26588; 22207; 24895; 23838; 18581
