JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
80080.0; 81664.0; 77528.0; 80384.0; 80096.0; 77528.0
