JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624969.0; 662874.0; 567465.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
318304.0; 336832.0; 315768.0; 624968.0; 662872.0; 567464.0
