JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
39767; 38882; 32689; 32439; 31158; 19540
39720; 39196; 33017; 32418; 31176; 19513
39701; 39211; 32685; 32357; 31212; 19577
39786; 39066; 32888; 32396; 31122; 19495
39639; 39057; 32964; 32462; 31085; 19562
39786; 39102; 32727; 32387; 31163; 19458
39711; 39259; 32551; 32435; 31177; 19546
39715; 39116; 33055; 32442; 31102; 19554
39690; 39264; 32737; 32470; 31092; 19564
39653; 39078; 32531; 32358; 31102; 19522
39503; 38982; 32875; 32405; 31129; 19566
39595; 39161; 33028; 32586; 31286; 19470
39593; 39282; 32931; 32603; 31197; 19484
39474; 39216; 32898; 32573; 31328; 19480
39543; 39228; 33027; 32545; 31301; 19354
39458; 39158; 32841; 32545; 31238; 19377
39470; 39188; 33409; 32512; 31322; 19514
39504; 39215; 32853; 32507; 31369; 19471
39652; 39249; 32594; 32521; 31239; 19549
39632; 39336; 32953; 32525; 31267; 19461
39597; 39339; 32886; 32514; 31274; 19422
39681; 39160; 32909; 32509; 31332; 19520
39227; 39229; 33039; 32495; 31234; 19499
39154; 39255; 32864; 32500; 31231; 19369
39174; 39254; 32705; 32536; 31204; 19423
39092; 39284; 32899; 32504; 31330; 19473
39177; 39251; 33028; 32477; 31376; 19555
39115; 39252; 32708; 32505; 31237; 19369
39133; 39230; 32326; 32529; 31367; 19462
39157; 39243; 32874; 32517; 31285; 19421
