JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
3738.0; 5150.0; 3716.0; 4016.0; 5397.0
3722.0; 5158.0; 3699.0; 3993.0; 5399.0
3736.0; 5156.0; 3697.0; 4012.0; 5392.0
3738.0; 5177.0; 3708.0; 4010.0; 5404.0
3740.0; 5154.0; 3708.0; 4012.0; 5413.0
3738.0; 5156.0; 3711.0; 4018.0; 5389.0
3750.0; 5157.0; 3722.0; 4012.0; 5389.0
3748.0; 5145.0; 3727.0; 4013.0; 5384.0
3750.0; 5168.0; 3724.0; 4019.0; 5391.0
3748.0; 5149.0; 3722.0; 4014.0; 5387.0
3743.0; 5144.0; 3723.0; 4017.0; 5387.0
3748.0; 5153.0; 3719.0; 4004.0; 5407.0
3753.0; 5159.0; 3717.0; 4024.0; 5405.0
3742.0; 5172.0; 3726.0; 4014.0; 5397.0
3750.0; 5156.0; 3723.0; 4022.0; 5400.0
3746.0; 5160.0; 3723.0; 4018.0; 5392.0
3746.0; 5177.0; 3718.0; 4020.0; 5403.0
3751.0; 5161.0; 3721.0; 4018.0; 5395.0
3751.0; 5160.0; 3725.0; 4021.0; 5393.0
3754.0; 5175.0; 3720.0; 4023.0; 5391.0
3748.0; 5157.0; 3728.0; 4017.0; 5402.0
3752.0; 5166.0; 3725.0; 4010.0; 5393.0
3748.0; 5181.0; 3720.0; 3992.0; 5388.0
3748.0; 5181.0; 3727.0; 4019.0; 5396.0
3748.0; 5171.0; 3724.0; 4015.0; 5395.0
3752.0; 5178.0; 3731.0; 4016.0; 5392.0
3747.0; 5155.0; 3723.0; 4004.0; 5384.0
3752.0; 5166.0; 3721.0; 4020.0; 5406.0
3740.0; 5165.0; 3728.0; 4016.0; 5388.0
3749.0; 5156.0; 3727.0; 4016.0; 5400.0
