JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
3782; 5276; 3778; 4105; 5409
3772; 5276; 3783; 4087; 5418
3776; 5269; 3775; 4094; 5407
3779; 5301; 3768; 4108; 5412
3780; 5292; 3782; 4102; 5408
3786; 5295; 3785; 4108; 5426
3786; 5288; 3781; 4107; 5422
3790; 5280; 3787; 4108; 5421
3790; 5284; 3788; 4108; 5396
3787; 5272; 3788; 4103; 5402
3794; 5286; 3782; 4109; 5410
3800; 5302; 3804; 4089; 5436
3803; 5293; 3796; 4099; 5428
3798; 5299; 3793; 4098; 5435
3795; 5310; 3797; 4101; 5432
3795; 5300; 3794; 4094; 5433
3796; 5309; 3804; 4101; 5433
3798; 5307; 3797; 4096; 5446
3795; 5305; 3793; 4092; 5433
3796; 5317; 3798; 4098; 5428
3801; 5312; 3799; 4096; 5439
3797; 5312; 3802; 4101; 5435
3798; 5300; 3797; 4103; 5428
3799; 5309; 3800; 4087; 5432
3799; 5300; 3797; 4097; 5423
3796; 5302; 3801; 4084; 5449
3801; 5304; 3800; 4100; 5435
3799; 5305; 3797; 4094; 5436
3799; 5301; 3802; 4097; 5437
3787; 5296; 3796; 4097; 5441
