JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
80144.0; 81744.0; 77608.0; 80448.0; 88112.0; 85560.0
