JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
68160.0; 69760.0; 65624.0; 76448.0; 76160.0; 73608.0
