JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
6313; 7890; 7604; 9769; 7564; 7496
6310; 7963; 7602; 9771; 7570; 7539
6350; 7974; 7689; 9761; 7538; 7517
6346; 8008; 7691; 9777; 7507; 7514
6356; 8013; 7684; 9770; 7536; 7487
6331; 7970; 7686; 9767; 7517; 7511
6348; 7988; 7694; 9777; 7515; 7512
6358; 7961; 7671; 9781; 7546; 7509
6366; 7998; 7686; 9760; 7512; 7512
6358; 8034; 7688; 9760; 7544; 7508
6366; 8032; 7676; 9778; 7540; 7527
6348; 8008; 7690; 9742; 7519; 7548
6322; 8051; 7695; 9751; 7530; 7551
6348; 7999; 7699; 9748; 7522; 7541
6361; 8040; 7703; 9757; 7525; 7556
6360; 8037; 7692; 9751; 7537; 7553
6388; 8004; 7698; 9751; 7537; 7523
6361; 8044; 7695; 9774; 7535; 7529
6375; 8002; 7716; 9729; 7527; 7526
6372; 7974; 7689; 9750; 7550; 7536
6369; 8037; 7710; 9738; 7521; 7532
6383; 8001; 7693; 9746; 7527; 7528
6378; 8044; 7682; 9742; 7512; 7533
6372; 8038; 7713; 9738; 7503; 7515
6374; 8024; 7678; 9740; 7529; 7521
6404; 7990; 7683; 9741; 7517; 7529
6394; 8047; 7674; 9757; 7491; 7537
6369; 8014; 7680; 9760; 7528; 7533
6396; 8030; 7706; 9749; 7508; 7544
6386; 8030; 7670; 9750; 7548; 7511
