JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
39862; 11607; 38848; 31166; 11000
39777; 11613; 38688; 31203; 11016
39732; 11615; 39539; 31125; 11005
39805; 11618; 38872; 31214; 10998
39883; 11627; 38769; 31211; 11000
39819; 11589; 39445; 31281; 11004
39857; 11577; 39353; 31280; 11013
39821; 11622; 38822; 31282; 11014
39792; 11620; 39354; 31082; 11026
39854; 11622; 38940; 31084; 11018
40004; 11623; 38791; 31084; 11013
40098; 11606; 39461; 30905; 11005
40122; 11596; 38874; 31038; 11027
40069; 11583; 39402; 30977; 11031
40185; 11609; 38790; 31122; 11035
40048; 11633; 39414; 30814; 11033
39955; 11622; 38761; 30664; 11046
40089; 11629; 39419; 30689; 11045
40027; 11592; 38921; 30856; 11045
39997; 11616; 39159; 30740; 11050
40006; 11636; 38612; 30669; 11037
40121; 11632; 39227; 30850; 11045
40102; 11630; 38697; 30639; 11053
40018; 11613; 39161; 31129; 11037
40100; 11591; 38666; 30981; 11042
40048; 11621; 39236; 30912; 11062
40079; 11634; 38571; 31005; 11035
40049; 11630; 39212; 30992; 11039
40030; 11642; 38445; 31133; 11037
39929; 11596; 39265; 31027; 11050
