JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
12299; 273828; 12358; 12423; 250113
12310; 277415; 12359; 12394; 257193
12322; 275976; 12337; 12470; 271875
12310; 275875; 12330; 12464; 270133
12308; 278999; 12351; 12494; 268881
12315; 278730; 12339; 12479; 272075
12328; 278896; 12342; 12463; 270341
12341; 282826; 12339; 12489; 272001
12325; 281604; 12347; 12479; 269507
12348; 279679; 12348; 12492; 272048
12355; 277899; 12351; 12501; 271077
12317; 281257; 12303; 12470; 266887
12326; 281254; 12300; 12468; 268825
12340; 284938; 12286; 12461; 266406
12340; 282241; 12288; 12498; 271748
12339; 279708; 12296; 12499; 269528
12330; 281202; 12300; 12473; 270995
12341; 284938; 12302; 12490; 268735
12326; 279968; 12293; 12491; 270685
12315; 280710; 12349; 12492; 271588
12310; 281684; 12340; 12467; 266616
12324; 283831; 12337; 12495; 269037
12323; 283215; 12329; 12471; 267081
12301; 279750; 12309; 12500; 268615
12316; 280832; 12320; 12486; 267440
12316; 283812; 12326; 12492; 268712
12300; 282885; 12331; 12466; 268836
12317; 280797; 12330; 12478; 268854
12328; 280473; 12332; 12474; 270558
12329; 283736; 12323; 12493; 268723
