JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
37110.0; 36788.0; 31022.0; 33742.0; 30746.0; 24349.0
37304.0; 36997.0; 31142.0; 33684.0; 30758.0; 24273.0
37435.0; 36914.0; 31096.0; 33572.0; 30724.0; 24184.0
37264.0; 36933.0; 31169.0; 33700.0; 30761.0; 24209.0
37339.0; 36932.0; 31219.0; 33651.0; 30750.0; 24265.0
37361.0; 37007.0; 31225.0; 33705.0; 30664.0; 24116.0
37362.0; 36979.0; 31209.0; 33617.0; 30712.0; 24143.0
37304.0; 36951.0; 31197.0; 33579.0; 30791.0; 24281.0
37328.0; 36948.0; 31175.0; 33602.0; 30736.0; 24157.0
37282.0; 36997.0; 31130.0; 33661.0; 30850.0; 24290.0
37288.0; 36939.0; 31091.0; 33595.0; 30777.0; 24093.0
37601.0; 36944.0; 31384.0; 33866.0; 30526.0; 24282.0
37512.0; 36998.0; 31204.0; 33810.0; 30548.0; 24140.0
37539.0; 37037.0; 31172.0; 33830.0; 30547.0; 24194.0
37462.0; 36962.0; 31050.0; 33789.0; 30576.0; 24141.0
37502.0; 37029.0; 31312.0; 33800.0; 30533.0; 24123.0
37571.0; 37025.0; 31387.0; 33807.0; 30523.0; 24223.0
37459.0; 37035.0; 31520.0; 33899.0; 30556.0; 24176.0
37457.0; 36940.0; 31383.0; 33862.0; 30541.0; 24061.0
37587.0; 37025.0; 31341.0; 33843.0; 30491.0; 24102.0
37483.0; 36980.0; 31436.0; 33878.0; 30547.0; 24128.0
37516.0; 36873.0; 31292.0; 33859.0; 30598.0; 24097.0
37351.0; 36928.0; 31571.0; 33882.0; 30609.0; 24198.0
37370.0; 37005.0; 31447.0; 33848.0; 30538.0; 24167.0
37562.0; 36939.0; 31309.0; 33818.0; 30619.0; 24272.0
37337.0; 36927.0; 31325.0; 33805.0; 30614.0; 24282.0
37414.0; 37044.0; 31518.0; 33824.0; 30664.0; 24111.0
37480.0; 37112.0; 31275.0; 33760.0; 30649.0; 24196.0
37426.0; 37079.0; 31211.0; 33845.0; 30609.0; 24174.0
37273.0; 37083.0; 31336.0; 33793.0; 30639.0; 24213.0
