JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
5615; 5530; 4046; 8442; 7582; 4558
5577; 5544; 4067; 8425; 7540; 4553
5618; 5531; 4040; 8401; 7584; 4553
5646; 5562; 4044; 8421; 7592; 4552
5670; 5588; 4050; 8392; 7558; 4544
5687; 5587; 4055; 8449; 7550; 4558
5693; 5558; 4036; 8389; 7556; 4544
5673; 5560; 4034; 8381; 7576; 4513
5679; 5570; 4052; 8465; 7585; 4512
5685; 5570; 4052; 8400; 7549; 4514
5667; 5591; 4034; 8401; 7556; 4516
5679; 5570; 4051; 8442; 7516; 4526
5687; 5551; 4030; 8409; 7521; 4542
5687; 5545; 4054; 8443; 7529; 4518
5666; 5560; 4049; 8441; 7531; 4540
5712; 5572; 4078; 8401; 7546; 4530
5680; 5575; 4068; 8466; 7512; 4549
5698; 5582; 4064; 8396; 7512; 4531
5699; 5572; 4066; 8399; 7555; 4525
5689; 5581; 4050; 8476; 7511; 4535
5689; 5569; 4058; 8259; 7518; 4540
5700; 5579; 4056; 8412; 7521; 4531
5692; 5603; 4086; 8451; 7553; 4540
5695; 5584; 4064; 8397; 7538; 4534
5710; 5569; 4053; 8481; 7549; 4535
5699; 5572; 4062; 8413; 7513; 4548
5718; 5571; 4022; 8405; 7520; 4531
5701; 5594; 4075; 8476; 7521; 4531
5683; 5572; 4073; 8411; 7542; 4540
5692; 5579; 4062; 8469; 7521; 4536
