Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashMap; 7970.9; 12.7; 7937; 7996; (7966.1, 7975.7)
JLinkedMap; 6135.9; 11.8; 6106; 6156; (6131.4, 6140.4)
SHashMap; 7420.8; 14.4; 7389; 7448; (7415.3, 7426.3)
SLinkedMap; 1967.7; 24.5; 1920; 2014; (1958.4, 1977.1)
