Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JTreeMap; 712; 8.8; 683; 724; (708.7, 715.3)
STreeMap; 661.5; 5.9; 651; 677; (659.3, 663.8)
