Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JTreeSet; 10725.4; 19.9; 10655; 10753; (10717.8, 10732.9)
STreeSet; 5426.1; 27.2; 5337; 5451; (5415.8, 5436.4)
