Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JTreeSet; 1473.3; 7.6; 1441.0; 1483.0; (1470.4, 1476.2)
STreeSet; 779.6; 8.0; 749.0; 791.0; (776.6, 782.7)
