Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 4161.3; 20.4; 4094; 4178; (4153.5, 4169.0)
JLinkedSet; 4154.5; 11.1; 4097; 4163; (4150.3, 4158.7)
SHashSet; 3437.3; 52; 3274; 3479; (3417.6, 3457.1)
SLinkedSet; 2851.5; 8.9; 2808; 2857; (2848.1, 2854.9)
