Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 4804.7; 10.1; 4773.0; 4823.0; (4800.8, 4808.5)
JLinkedSet; 3637.0; 6.9; 3626.0; 3652.0; (3634.3, 3639.6)
SHashSet; 3116.3; 12.1; 3081.0; 3135.0; (3111.7, 3120.9)
SLinkedSet; 3158.1; 7.6; 3146.0; 3182.0; (3155.3, 3161.0)
