Kolekcja; Profile0; Profile1; Profile2; Profile3; Profile4
JArraySequence; (8980, 8988); (10513, 10528); (8674, 8744); (8265, 8279); (9594, 9605)
JLinkedSequence; (7920, 7929); (8497, 8507); (6961, 6970); (6986, 7001); (8205, 8224)
JVectorSequence; (8947, 8961); (10498, 10507); (8668, 8676); (8278, 8306); (9512, 9524)
SArraySequence; (4435, 4440); (8158, 8164); (5861, 5865); (5296, 5304); (5795, 5814)
SLinkedSequence; (2190, 2192); (5159, 5163); (2076, 2082); (2467, 2471); (4667, 4676)
