Kolekcja; Profile0; Profile1; Profile2; Profile3; Profile4
JHashSet; (5606, 5613); (3872, 3884); (3778, 3790); (8068, 8084); (5575, 5581)
JLinkedSet; (8430, 8446); (5413, 5423); (5340, 5346); (8339, 8351); (6447, 6457)
JTreeSet; (6184, 6194); (3923, 3929); (3676, 3681); (5882, 5887); (4697, 4702)
SHashSet; (7125, 7136); (2587, 2593); (1763, 1766); (3484, 3488); (1499, 1500)
SLinkedSet; (6070, 6077); (2039, 2050); (1298, 1301); (2529, 2532); (896, 897)
STreeSet; (4467, 4472); (1738, 1739); (1190, 1191); (2228, 2232); (1122, 1123)
