Kolekcja; Profile0; Profile1; Profile2; Profile3; Profile4; Profile5
JHashMap; 35011.4; 394802.5; 34422.3; 188667.6; 36508.1; 36349.8
JLinkedMap; 34951.9; 375070.6; 34251.5; 190458.4; 36001.2; 36145.1
JTreeMap; 30914.0; 117851.8; 30959.9; 123131.5; 34434.5; 32405.3
SHashMap; 26248.9; 229038.0; 27825.1; 27415.0; 26965.8; 28247.8
SLinkedMap; 24211.5; 156409.9; 25310.8; 25694.6; 24953.3; 26359.8
STreeMap; 21497.7; 56145.1; 22080.2; 22177.8; 24112.8; 22733.5
