Kolekcja; Profile0; Profile1; Profile2; Profile3; Profile4; Profile5
JArraySequence; 11149.7; 7604.9; 8519.1; 8995.8; 11495.1; 10336.6
JLinkedSequence; 8601.7; 7627.3; 6931.5; 7731.9; 7348.4; 7515.0
JVectorSequence; 11086.8; 7596.0; 8401.5; 8625.0; 11507.4; 10263.1
SArraySequence; 3381.1; 4680.8; 4520.3; 3398.2; 6972.2; 4129.6
SLinkedSequence; 3254.6; 2724.2; 3351.6; 3777.7; 3427.8; 3743.3
